MD1 	 MD2	 DMP 	 DM3 	 Br(h-->e-nu) 	 Br(h-->mu-nu) 	 Br(h-->tau-nu) 	 Br(h-->W-h1) 	 Br(W-->e-nu) 	Br(W-->mu-nu) 	 Br(W-->tau-nu)
9.770892e+01 	2.025291e+02 	8.170725e+01 	2.311292e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.147335e+01 	1.012693e+02 	2.647833e+01 	3.331766e+01 	1.119536e-01 	1.119442e-01 	1.094491e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.509673e+02 	2.468017e+02 	5.514587e+01 	4.068853e+01 	1.112719e-01 	1.112701e-01 	1.107089e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.203667e+01 	1.456840e+02 	1.050825e+01 	7.313904e+01 	1.164458e-01 	1.163863e-01 	1.013563e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.252031e+02 	3.632279e+02 	2.467317e+01 	1.335157e+01 	1.120685e-01 	1.120577e-01 	1.092249e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.422983e+02 	5.587719e+02 	5.867798e+01 	5.779562e+01 	1.112443e-01 	1.112428e-01 	1.107550e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.173290e+01 	1.301043e+02 	9.290954e+01 	1.546187e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.158801e+02 	7.510747e+02 	1.413171e+01 	2.106296e+01 	1.140663e-01 	1.140336e-01 	1.055767e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.053246e+01 	1.104295e+02 	2.748676e+01 	2.241026e+01 	1.118858e-01 	1.118771e-01 	1.095725e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.326052e+02 	9.299535e+02 	2.570391e+01 	7.164445e+01 	1.119890e-01 	1.119791e-01 	1.093669e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.279098e+01 	6.297716e+01 	2.317990e+01 	2.700628e+01 	1.122675e-01 	1.122545e-01 	1.088790e-01 	0.000000e+00 	1.097974e-01 	1.097971e-01 	1.097169e-01 
1.801129e+02 	3.674055e+02 	9.357101e+01 	9.372155e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.579853e+02 	2.913744e+02 	2.180187e+01 	1.158726e+01 	1.123456e-01 	1.123318e-01 	1.087153e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.508619e+01 	9.313422e+01 	1.797071e+01 	3.007732e+01 	1.129522e-01 	1.129317e-01 	1.076151e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.398761e+02 	3.913831e+02 	2.835895e+01 	2.314808e+01 	1.118281e-01 	1.118201e-01 	1.096693e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.397514e+01 	1.155904e+02 	2.066593e+01 	3.094930e+01 	1.124961e-01 	1.124807e-01 	1.084473e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.485219e+01 	1.314273e+02 	6.551325e+01 	1.106183e+01 	1.112128e-01 	1.112116e-01 	1.108202e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.571747e+02 	2.584448e+02 	6.345964e+01 	3.781039e+01 	1.112189e-01 	1.112176e-01 	1.108072e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.654363e+02 	7.814025e+02 	2.989725e+01 	8.606890e+01 	1.117515e-01 	1.117443e-01 	1.098079e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.352093e+02 	9.186719e+02 	6.410372e+01 	1.935893e+01 	1.112116e-01 	1.112103e-01 	1.108123e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.685135e+02 	2.195658e+02 	1.060769e+01 	4.044456e+01 	1.163399e-01 	1.162816e-01 	1.015357e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.919750e+01 	1.547039e+02 	1.241614e+01 	4.309021e+01 	1.149421e-01 	1.148997e-01 	1.040166e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.003318e+01 	1.064866e+02 	1.226448e+01 	8.418891e+01 	1.151640e-01 	1.151189e-01 	1.036565e-01 	0.000000e+00 	1.089015e-01 	1.089012e-01 	1.088217e-01 
3.291381e+02 	4.353478e+02 	1.936509e+01 	8.684464e+01 	1.126810e-01 	1.126636e-01 	1.080980e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.090896e+01 	1.718153e+02 	2.235774e+01 	6.854857e+01 	1.122896e-01 	1.122765e-01 	1.088254e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.777766e+02 	2.155376e+02 	2.091870e+01 	1.684229e+01 	1.124553e-01 	1.124403e-01 	1.085158e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.781378e+01 	5.271466e+01 	1.692123e+01 	1.797965e+01 	1.132270e-01 	1.132036e-01 	1.071240e-01 	0.000000e+00 	1.099067e-01 	1.099064e-01 	1.098261e-01 
1.650425e+01 	1.028885e+02 	3.690851e+01 	4.947578e+01 	1.115554e-01 	1.115505e-01 	1.101877e-01 	0.000000e+00 	1.108836e-01 	1.108833e-01 	1.108023e-01 
2.059801e+02 	3.313323e+02 	5.385602e+01 	7.149610e+01 	1.112811e-01 	1.112792e-01 	1.106902e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.033230e+02 	7.585944e+02 	3.676001e+01 	1.851143e+01 	1.115218e-01 	1.115173e-01 	1.102344e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.295148e+02 	6.370028e+02 	4.072996e+01 	6.675803e+01 	1.114387e-01 	1.114350e-01 	1.103909e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.247315e+01 	1.526006e+02 	3.153273e+01 	4.859469e+01 	1.116917e-01 	1.116852e-01 	1.099310e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.914349e+01 	1.919187e+02 	1.277552e+01 	7.999970e+01 	1.147312e-01 	1.146911e-01 	1.043936e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.585576e+01 	1.674897e+02 	8.417738e+01 	5.745661e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.842518e+01 	1.042088e+02 	4.956236e+01 	2.622123e+01 	1.113350e-01 	1.113326e-01 	1.105948e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.997290e+01 	1.580383e+02 	8.659567e+01 	3.146972e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.478004e+01 	1.040984e+02 	7.384821e+01 	1.547018e+01 	1.112126e-01 	1.112014e-01 	1.108616e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.969520e+02 	6.059869e+02 	9.511126e+01 	1.392364e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.284300e+01 	4.526354e+01 	1.507349e+01 	1.734705e+01 	1.137982e-01 	1.137685e-01 	1.060952e-01 	0.000000e+00 	1.091035e-01 	1.091032e-01 	1.090235e-01 
2.151607e+02 	3.277289e+02 	7.462512e+01 	3.794307e+01 	1.111848e-01 	1.111771e-01 	1.109002e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
