MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
5.962792e+01 	1.292936e+02 	3.098417e+01 	3.868155e+01 	2.975358e-02 	2.975300e-02 	2.957296e-02 	5.881623e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.258786e+01 	9.610961e+01 	6.152912e+01 	1.199264e+01 	3.447674e-02 	3.447612e-02 	3.428292e-02 	6.815288e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.350369e+01 	1.268796e+02 	7.146821e+01 	1.190770e+01 	3.444477e-02 	3.443941e-02 	3.423195e-02 	6.808968e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
7.466381e+01 	1.369456e+02 	1.518008e+01 	4.710170e+01 	2.045387e-02 	2.045341e-02 	2.030995e-02 	4.043278e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.835382e+02 	3.252107e+02 	1.050053e+01 	3.117203e+01 	2.199425e-02 	2.199335e-02 	2.171949e-02 	4.347775e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.626559e+02 	3.629221e+02 	6.615805e+01 	3.410811e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.989722e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.012320e+02 	4.042073e+02 	8.819612e+01 	1.477917e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999901e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.161525e+01 	1.405831e+02 	7.727568e+01 	2.169220e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.995950e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.211668e+01 	7.663694e+01 	2.043756e+01 	2.408270e+01 	2.941248e-02 	2.941146e-02 	2.908937e-02 	5.814197e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.363133e+01 	1.488100e+02 	3.518121e+01 	6.999742e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.486041e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.858517e+01 	1.655930e+02 	9.636176e+01 	3.064611e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.998037e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.055100e+02 	1.382010e+02 	1.765275e+01 	1.503825e+01 	3.328487e-02 	3.328285e-02 	3.267236e-02 	6.579680e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.053372e+01 	1.606006e+02 	6.643356e+01 	7.363334e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.844755e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.949503e+02 	8.242745e+02 	7.213398e+01 	5.719026e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.986283e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.213953e+01 	1.130073e+02 	3.796407e+01 	3.290369e+01 	3.200823e-02 	3.200762e-02 	3.181882e-02 	6.327319e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.583751e+01 	1.269275e+02 	3.719759e+01 	4.389241e+01 	3.034523e-02 	3.034475e-02 	3.019591e-02 	5.998581e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.892693e+02 	3.167782e+02 	8.777939e+01 	3.972954e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.997135e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.014791e+01 	2.026077e+02 	7.615741e+01 	8.630242e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.382661e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.995606e+02 	3.758164e+02 	4.355621e+01 	3.269961e+01 	3.357711e-02 	3.357653e-02 	3.339587e-02 	6.637453e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.848250e+02 	7.388392e+02 	1.964729e+01 	3.436686e+01 	2.802267e-02 	2.802191e-02 	2.778209e-02 	5.539462e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.369392e+02 	7.061166e+02 	5.465363e+01 	1.452370e+01 	3.447605e-02 	3.447537e-02 	3.426318e-02 	6.815153e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.171992e+01 	5.124927e+01 	1.612483e+01 	2.340452e+01 	2.524306e-02 	2.524206e-02 	2.492525e-02 	4.989994e-02 	0.000000e+00 	3.391252e-02 	3.391225e-02 	3.383618e-02 	6.703755e-02 
4.402098e+02 	4.887591e+02 	3.121275e+01 	1.733658e+01 	3.427418e-02 	3.427309e-02 	3.393260e-02 	6.775247e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.286381e+01 	6.841593e+01 	1.734134e+01 	1.821078e+01 	3.089193e-02 	3.089036e-02 	3.040822e-02 	6.106651e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.835351e+01 	1.007541e+02 	3.895251e+01 	1.344806e+01 	3.452984e-02 	3.452887e-02 	3.422601e-02 	6.825782e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.870322e+01 	1.070204e+02 	2.822306e+01 	2.009414e+01 	3.329970e-02 	3.329865e-02 	3.296992e-02 	6.582614e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.370823e+02 	3.475910e+02 	9.227618e+01 	1.823247e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999858e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.145552e+01 	1.166630e+02 	8.511139e+01 	2.009612e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.996771e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.507779e+01 	1.585800e+02 	4.813193e+01 	4.537025e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999998e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.071810e+01 	1.398699e+02 	6.877135e+01 	2.038043e+01 	3.435513e-02 	3.435175e-02 	3.418654e-02 	6.791251e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
