MD1	DMP	DM3	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
0	20	10	1.209500e+02	NaN	NaN	NaN	3.981000e-07	3.980500e-07	3.828300e-07	3.979100e-07	3.979100e-07	3.825600e-07
0	30	10	9.206300e+01	NaN	NaN	NaN	2.838500e-06	2.838400e-06	2.785100e-06	2.838300e-06	2.839600e-06	2.788200e-06
0	40	10	7.141600e+01	NaN	NaN	NaN	1.162400e-05	1.163600e-05	1.153200e-05	1.164300e-05	1.164000e-05	1.152800e-05
0	50	10	5.651800e+01	NaN	NaN	NaN	3.605900e-05	3.606700e-05	3.585000e-05	3.605900e-05	3.603900e-05	3.581100e-05
0	60	10	4.540800e+01	NaN	NaN	NaN	9.642600e-05	9.641900e-05	9.595100e-05	9.639900e-05	9.646400e-05	9.598600e-05
0	70	10	3.711200e+01	NaN	NaN	NaN	2.476800e-04	2.477900e-04	2.472500e-04	2.477500e-04	2.477100e-04	2.470500e-04
0	80	10	3.076700e+01	NaN	NaN	NaN	8.659500e-04	8.655100e-04	8.642800e-04	8.658200e-04	8.656200e-04	8.637700e-04
0	90	10	2.574200e+01	NaN	NaN	NaN	8.746600e-03	8.747300e-03	8.730200e-03	8.734800e-03	8.742400e-03	8.740700e-03
10	10	10	1.636700e+02	NaN	NaN	NaN	1.369500e-08	1.368700e-08	1.176400e-08	1.370900e-08	1.369800e-08	1.175400e-08
10	100	10	2.179000e+01	NaN	NaN	NaN	2.468200e-02	2.472600e-02	2.466700e-02	2.465400e-02	2.471600e-02	2.466700e-02
10	110	10	1.862900e+01	NaN	NaN	NaN	4.701400e-02	4.699000e-02	4.711500e-02	4.719300e-02	4.729600e-02	4.724300e-02
10	120	10	1.607000e+01	NaN	NaN	NaN	7.517100e-02	7.519000e-02	7.507300e-02	7.507000e-02	7.586700e-02	7.521400e-02
10	20	10	1.210200e+02	NaN	NaN	NaN	3.982200e-07	3.980800e-07	3.829400e-07	3.984300e-07	3.980900e-07	3.828100e-07
10	30	10	9.188900e+01	NaN	NaN	NaN	2.836700e-06	2.837600e-06	2.787600e-06	2.841100e-06	2.842000e-06	2.786100e-06
10	40	10	7.139100e+01	NaN	NaN	NaN	1.163400e-05	1.163000e-05	1.153300e-05	1.163500e-05	1.164700e-05	1.152900e-05
10	50	10	5.654300e+01	NaN	NaN	NaN	3.609300e-05	3.602900e-05	3.582100e-05	3.607400e-05	3.606200e-05	3.583900e-05
10	60	10	4.541000e+01	NaN	NaN	NaN	9.635600e-05	9.638600e-05	9.595300e-05	9.637300e-05	9.639200e-05	9.591000e-05
10	70	10	3.716800e+01	NaN	NaN	NaN	2.479300e-04	2.476400e-04	2.471400e-04	2.475300e-04	2.476900e-04	2.470100e-04
10	80	10	3.079800e+01	NaN	NaN	NaN	8.655500e-04	8.648500e-04	8.638000e-04	8.667900e-04	8.662600e-04	8.642600e-04
10	90	10	2.570900e+01	NaN	NaN	NaN	8.744300e-03	8.750700e-03	8.732600e-03	8.747800e-03	8.754600e-03	8.729900e-03
20	10	10	1.634400e+02	NaN	NaN	NaN	1.369800e-08	1.369700e-08	1.176300e-08	1.370900e-08	1.369900e-08	1.175900e-08
20	100	10	2.179200e+01	NaN	NaN	NaN	2.468600e-02	2.467600e-02	2.465300e-02	2.486300e-02	2.466300e-02	2.473300e-02
20	110	10	1.864900e+01	NaN	NaN	NaN	4.707900e-02	4.689600e-02	4.691100e-02	4.700400e-02	4.706200e-02	4.710000e-02
20	120	10	1.608300e+01	NaN	NaN	NaN	7.508400e-02	7.499400e-02	7.499600e-02	7.491800e-02	7.479900e-02	7.527500e-02
20	20	10	1.210200e+02	NaN	NaN	NaN	3.985000e-07	3.983400e-07	3.828300e-07	3.980400e-07	3.980100e-07	3.828000e-07
20	30	10	9.188300e+01	NaN	NaN	NaN	2.834300e-06	2.835300e-06	2.788500e-06	2.836300e-06	2.838500e-06	2.788800e-06
20	40	10	7.151400e+01	NaN	NaN	NaN	1.163900e-05	1.163700e-05	1.152000e-05	1.163500e-05	1.164100e-05	1.151700e-05
20	50	10	5.650800e+01	NaN	NaN	NaN	3.607800e-05	3.601900e-05	3.581600e-05	3.601500e-05	3.606500e-05	3.583400e-05
20	60	10	4.545700e+01	NaN	NaN	NaN	9.643000e-05	9.638700e-05	9.599100e-05	9.642500e-05	9.644200e-05	9.601200e-05
20	70	10	3.720000e+01	NaN	NaN	NaN	2.477000e-04	2.476900e-04	2.469700e-04	2.476900e-04	2.478900e-04	2.468200e-04
20	80	10	3.076800e+01	NaN	NaN	NaN	8.656900e-04	8.666500e-04	8.641300e-04	8.665600e-04	8.665300e-04	8.642500e-04
20	90	10	2.574300e+01	NaN	NaN	NaN	8.753000e-03	8.731900e-03	8.733200e-03	8.740800e-03	8.745300e-03	8.742600e-03
30	10	10	1.632600e+02	NaN	NaN	NaN	1.369600e-08	1.369200e-08	1.176600e-08	1.369900e-08	1.368400e-08	1.175700e-08
30	100	10	2.179500e+01	NaN	NaN	NaN	2.470100e-02	2.472400e-02	2.471200e-02	2.476200e-02	2.465300e-02	2.472900e-02
30	110	10	1.862900e+01	NaN	NaN	NaN	4.702400e-02	4.695000e-02	4.714800e-02	4.704200e-02	4.706500e-02	4.711100e-02
30	120	10	1.607400e+01	NaN	NaN	NaN	7.527100e-02	7.568900e-02	7.556700e-02	7.504200e-02	7.480000e-02	7.551300e-02
30	20	10	1.210200e+02	NaN	NaN	NaN	3.978600e-07	3.978400e-07	3.830300e-07	3.980100e-07	3.979800e-07	3.824900e-07
30	30	10	9.199700e+01	NaN	NaN	NaN	2.837100e-06	2.836300e-06	2.790000e-06	2.838100e-06	2.839300e-06	2.788400e-06
30	40	10	7.128400e+01	NaN	NaN	NaN	1.163900e-05	1.164000e-05	1.152000e-05	1.163000e-05	1.163700e-05	1.151800e-05
30	50	10	5.651300e+01	NaN	NaN	NaN	3.606100e-05	3.605100e-05	3.581900e-05	3.608200e-05	3.604600e-05	3.581500e-05
30	60	10	4.547900e+01	NaN	NaN	NaN	9.642500e-05	9.642900e-05	9.599000e-05	9.640500e-05	9.637800e-05	9.583300e-05
30	70	10	3.715700e+01	NaN	NaN	NaN	2.475900e-04	2.477600e-04	2.470900e-04	2.475600e-04	2.476200e-04	2.469500e-04
30	80	10	3.077700e+01	NaN	NaN	NaN	8.651600e-04	8.659900e-04	8.634400e-04	8.670000e-04	8.657900e-04	8.641100e-04
30	90	10	2.575400e+01	NaN	NaN	NaN	8.745900e-03	8.747100e-03	8.738300e-03	8.744700e-03	8.758400e-03	8.733600e-03
40	10	10	1.632300e+02	NaN	NaN	NaN	1.368700e-08	1.369400e-08	1.175900e-08	1.369500e-08	1.369600e-08	1.174800e-08
