MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e-nu) 	 Br(h+->mu-nu) 	 Br(h+->tau-nu) 	 Br(h+->W+h1) 	 Br(W+->e-nu) 	Br(W+->mu-nu) 	 Br(W+->tau-nu)
6.000000e+01 	1.100000e+02 	4.000000e+01 	1.000000e+01 	1.114614e-01 	1.114576e-01 	1.103594e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	2.000000e+02 	4.000000e+01 	1.000000e+02 	1.114614e-01 	1.114576e-01 	1.103594e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.210000e+02 	6.000000e+01 	1.000000e+00 	1.112431e-01 	1.112416e-01 	1.107649e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.300000e+02 	6.000000e+01 	1.000000e+01 	1.112431e-01 	1.112416e-01 	1.107649e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	2.200000e+02 	6.000000e+01 	1.000000e+02 	1.112431e-01 	1.112416e-01 	1.107649e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.410000e+02 	8.000000e+01 	1.000000e+00 	1.111357e-01 	1.111287e-01 	1.109381e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.500000e+02 	8.000000e+01 	1.000000e+01 	1.111357e-01 	1.111287e-01 	1.109381e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	2.400000e+02 	8.000000e+01 	1.000000e+02 	1.111357e-01 	1.111287e-01 	1.109381e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.810000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.900000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	2.800000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
